id,alias,name,image_url,url,price,phone,display_phone,latitude,longitude,address1,address2,address3,city,zip_code,country,state,display_address,categories,category_0,category_1,category_2,pickup,delivery
b_RZL-wE1PpH0nX9cv7twg,melanies-roti-and-grill-restaurant-bronx,Melanie's Roti & Grill Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/hakad4doN1EkI-voolxvwQ/o.jpg,https://www.yelp.com/biz/melanies-roti-and-grill-restaurant-bronx?adjust_creative=bTbNM_4fpBA2r1xO8IveLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTbNM_4fpBA2r1xO8IveLw,$$,+17184091088,(718) 409-1088,40.8333,-73.851045,1248 Castle Hill Ave,,,Bronx,10462,US,NY,"1248 Castle Hill Ave Bronx, NY 10462","Bars, Caribbean, Indian",Bars,Caribbean,Indian,True,True
ECjXmuqe2x-shw2a03Lfag,juices-for-life-bronx,Juices For Life,https://s3-media4.fl.yelpcdn.com/bphoto/onco5VtYYN1oz8GJ1SLTAg/o.jpg,https://www.yelp.com/biz/juices-for-life-bronx?adjust_creative=bTbNM_4fpBA2r1xO8IveLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTbNM_4fpBA2r1xO8IveLw,$,+13472819844,(347) 281-9844,40.8282905,-73.8500233,1026 Castle Hill Ave,,,Bronx,10472,US,NY,"1026 Castle Hill Ave Bronx, NY 10472",Juice Bars & Smoothies,Juice Bars & Smoothies,,,False,False
cecWBm6P2T1dIXrTfJWKng,jennys-roti-shop-bronx,Jenny's Roti Shop,https://s3-media2.fl.yelpcdn.com/bphoto/zUaKGX30-p3aH9Dka6Qp2w/o.jpg,https://www.yelp.com/biz/jennys-roti-shop-bronx?adjust_creative=bTbNM_4fpBA2r1xO8IveLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTbNM_4fpBA2r1xO8IveLw,$,+13472818558,(347) 281-8558,40.8337936401367,-73.8511505126953,1262 Castle Hill Ave,,,Bronx,10462,US,NY,"1262 Castle Hill Ave Bronx, NY 10462",Trinidadian,Trinidadian,,,True,True
pFUV3Wc-c-U3yuJBjCkcvQ,juiceade-bronx-2,Juiceade,https://s3-media2.fl.yelpcdn.com/bphoto/iAmzG_qeGHrxXwJYPGjdmQ/o.jpg,https://www.yelp.com/biz/juiceade-bronx-2?adjust_creative=bTbNM_4fpBA2r1xO8IveLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTbNM_4fpBA2r1xO8IveLw,,+17189916369,(718) 991-6369,40.83204,-73.89116,1345 Southern Blvd,Store 1,,Bronx,10459,US,NY,"1345 Southern Blvd Store 1 Bronx, NY 10459","Juice Bars & Smoothies, Vegan, Tacos",Juice Bars & Smoothies,Vegan,Tacos,True,True
D0puW8QfnyXzjBofYhJm7A,jimmys-on-the-go-bronx,Jimmys On The Go,https://s3-media3.fl.yelpcdn.com/bphoto/ZPkuYrt84aTLrhTfv6xHkg/o.jpg,https://www.yelp.com/biz/jimmys-on-the-go-bronx?adjust_creative=bTbNM_4fpBA2r1xO8IveLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTbNM_4fpBA2r1xO8IveLw,,+17188422324,(718) 842-2324,40.830781,-73.905346,536 E 168th St,,,Bronx,10456,US,NY,"536 E 168th St Bronx, NY 10456","Seafood, Breakfast & Brunch",Seafood,Breakfast & Brunch,,False,False
fkJ4Nr8xs3xjgl9T7d6Agw,corner-style-jamaican-and-american-bronx,Corner Style Jamaican & American,https://s3-media2.fl.yelpcdn.com/bphoto/Ev91SKvRBrvYuNOpcz5tbA/o.jpg,https://www.yelp.com/biz/corner-style-jamaican-and-american-bronx?adjust_creative=bTbNM_4fpBA2r1xO8IveLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTbNM_4fpBA2r1xO8IveLw,$,+17184108460,(718) 410-8460,40.83489,-73.91971,1195 Walton Ave,,,Bronx,10452,US,NY,"1195 Walton Ave Bronx, NY 10452","Caribbean, American (New)",Caribbean,American (New),,False,False
rkYATACY4qzaVFapJTWj4Q,fish-n-ting-bronx,Fish N' Ting,https://s3-media3.fl.yelpcdn.com/bphoto/RkEUiQcPKLa6DG6ovo3Q5g/o.jpg,https://www.yelp.com/biz/fish-n-ting-bronx?adjust_creative=bTbNM_4fpBA2r1xO8IveLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTbNM_4fpBA2r1xO8IveLw,$$,+17188816116,(718) 881-6116,40.885723,-73.829075,4063 Boston Rd,,,Bronx,10466,US,NY,"4063 Boston Rd Bronx, NY 10466","Caribbean, Seafood, Bars",Caribbean,Seafood,Bars,True,True
WI05doY7Zskp-hfdCODRxQ,bate-nabaya-african-and-american-restaurant-bronx,Bate Nabaya African & American Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/ZT-RoDndM4T_AGBtoyin-Q/o.jpg,https://www.yelp.com/biz/bate-nabaya-african-and-american-restaurant-bronx?adjust_creative=bTbNM_4fpBA2r1xO8IveLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTbNM_4fpBA2r1xO8IveLw,,+17184012283,(718) 401-2283,40.823753,-73.913856,860 Melrose Ave,,,Bronx,10451,US,NY,"860 Melrose Ave Bronx, NY 10451",African,African,,,False,False
qBeZpcFbc7dhiw0Us89H0g,king-sunshine-jerk-chicken-center-bronx,King Sunshine Jerk Chicken Center,https://s3-media1.fl.yelpcdn.com/bphoto/WNNBWRKbhfWHn_qruU94oQ/o.jpg,https://www.yelp.com/biz/king-sunshine-jerk-chicken-center-bronx?adjust_creative=bTbNM_4fpBA2r1xO8IveLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTbNM_4fpBA2r1xO8IveLw,$$,+17184093809,(718) 409-3809,40.8326765,-73.8641598,1853 Westchester Ave,,,Bronx,10472,US,NY,"1853 Westchester Ave Bronx, NY 10472",Meat Shops,Meat Shops,,,True,True
QpH6TCCJy8tdAoMq30LXbA,next-stop-vegan-bronx,Next Stop Vegan,https://s3-media1.fl.yelpcdn.com/bphoto/WegoD5sUyNMjuTQKG9aujw/o.jpg,https://www.yelp.com/biz/next-stop-vegan-bronx?adjust_creative=bTbNM_4fpBA2r1xO8IveLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTbNM_4fpBA2r1xO8IveLw,$$,+13473988166,(347) 398-8166,40.83766,-73.866619,1818 Archer St,,,Bronx,10460,US,NY,"1818 Archer St Bronx, NY 10460","Vegan, Food Delivery Services, Personal Chefs",Vegan,Food Delivery Services,Personal Chefs,True,True
